Référent SEE;"SERMA
Date";Type;Numéro de dossier;Comm.;Liens
CT;;DD;108351;Thonex Puplinge;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108351 RC 55 Route de Mon Idée Lot 3
CT;2021-02-24 00:00:00;DD;108363;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108363 CFF_Eaux-Vives -Parking&Commerces
CT;2021-04-01 00:00:00;DD;108392;Thônex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108392 Espaces publics et infra ar ter
CT;2021-05-10 00:00:00;DD;108393;Thônex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108393 Pièces urbaines A2 - B
DL;;DD;108536;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108536 - La Bergère
ASC;;DD;108574;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108574 Les Vergers - bâtiment A13
CT;;DD;108630;Presinge;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108630 - Ferme agricole - Rte de Jurets-Jussy
DL;;DD;108684;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108684 - Transformation Richemont
ASC;;DD;108735;Vernier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108735 Etang bande convoyeuse - NIE
ASC;2021-04-06 00:00:00;DD;108752;;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108752 - Vieusseux - Bât A
DL;;DD;108753;Vieusseux;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108753 - Vieusseux - Bât G
DL;;DD;108754;Satigny;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108754 - Soreval - Champ du Puits
MS;;DD;108768;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108768 Adret mur de protection
AM;2020-01-24 00:00:00;DD;108786;Plan-les-Ouates;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108786 issu PLQ les Sciers
CT;2020-01-29 00:00:00;DD;108787;Plan-les-Ouates;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108787 issu PLQ les Sciers
ASC;2020-02-13 00:00:00;DD;108789; -;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108789 - B4-B5 - CFF
CT;2021-05-04 00:00:00;DD;108838;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108838 - Bâtiment A1 + galerie commerciale
;2020-07-10 00:00:00;DD;108839; -;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108839 Bâtiment A2
ASC;;DD;109025; Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 109025 Swiss recycling
GW;;DD;109115;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 109115 Adret Lot A
GW;;DD;109116;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 109116 Adret Lot B&C
GW;;DD;109118;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 109118 Adret Centrale Alpiq
WV;;DD;109169;eaux-vives;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 109169 - Plage et port des eaux vives 2016
ASC;;DD;109274;Satigny;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 109274 Réam agricole et amél foncière
ASC;;DD;109339;Vernier;
AM;;DD;109431;Plan-les-Ouates;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 109431 issus PLQ les Sciers
ASC;;DD;109503;Pregny Chambésy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 109503 Extension siège OMS
ASC;2022-07-21 00:00:00;DD;109535;Satigny;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 109535 Sogetri SA
GW;;DD;109707;Onex Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 109707 Pré-Longet Espaces publcis communaux
GW;;DD;109733;Onex  ;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 109733 Pré-Longet Immeuble I
CT;2025-10-29 00:00:00;DD;109745;Grand-Saconnex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 109745 GeniLac
AL;;DD;109755;Satigny;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 109755 Pré-Bouvier Parking mutualisé Satigny
DL;;DD;109796;Vernier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 109796 Europcar Vernier
DL;;DD;109971;Satigny;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 109971 Firmenich bât 41
CT;;DD;110122;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110122 - Eaux-Vives Espaces publiques
ASC;;DD;110186;Thônex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110186 Etienne Chennaz
CT;;DD;110238;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110238 Parking Clé de Rive
CT;;DD;110239;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110239 Espace publics Clé de Rive
FST;2024-09-20 00:00:00;DD;110263;Pregny-Chambésy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110263 - Station de pompage le Vengeron - Parking voitures et bateaux
GW;;DD;110450;Aire-la-Ville;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110450 Cheneviers Transfo bât val nrj
AM;;DD;110454;Plan-les-Ouates;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110454 batiment G les Sciers
AM;;DD;110475;Plan-les-Ouates;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110475 8 immeubles issus les Sciers
AM;;DD;110515;Plan-les-Ouates;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110515 batiment K issu PLQ les Sciers
GW;;DD;110580;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110580 Chemin de l'Adret
CT;2022-10-25 00:00:00;DD;110757;Thônex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110757 - Station épuration Villette
;2020-09-18 00:00:00;DD;110807;Thônex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110807 MICA groupe scolaire
GW;;DD;110822;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110822 Lots D+E
GW;;DD;110823;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110823 L13 Adret
GW;2020-06-16 00:00:00;DD;110860;Plan-les-Ouates;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110860 les Sciers
AM;;DD;110865;Plan-les-Ouates;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110865 issue PLQ les Sciers batiment H
GW;2024-02-28 00:00:00;DD;110942;Troinex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 110942 Les Crêts Troinex
ASC;;DD;111064;Vernier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111064 plateforme logistique Etang
GW;;DD;111066;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111066 Surville rampe
GW;;DD;111067;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111067 Bât 13 Surville
GW;;DD;111068;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111068 Bât 15 Surville
CT;2021-11-15 00:00:00;DD;111072;;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111072 - Lot F (Gare des Eaux-Vives)
GW;;DD;111270;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111270 Collecteurs secondaires Adret Merinos
DL;;DD;111285;Grand-Saconnex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111285 COE activités
DL;;DD;111286;Grand-Saconnex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111286 COE parking souterrain
DL;;DD;111288;Grand-Saconnex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111288 COE logements
CT;2020-02-12 00:00:00;DD;111308;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111308 Vernets  Bâtiment A
GW;2022-09-06 00:00:00;DD;111309;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111309 Vernets Bâtiment B
GW;2025-01-31 00:00:00;DD;111310;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111310 Vernets  Bâtiment C
GW;2020-02-12 00:00:00;DD;111311;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111311 Vernets Bâtiment D
CT;2020-02-12 00:00:00;DD;111312;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111312 Vernets Espaces extérieurs
GW;;DD;111479;;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111479 Parc Ferme MAP
WV;2020-01-16 00:00:00;DD;111490;Plan-les-Ouates;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111490_BRACCO
ASC;;DD;111541;Vernier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111541 Pont métallique prétroliers Vernier
ASC;;DD;111556;Vernier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111556 Etang groupe scolaire
DL;;DD;111563;Satigny;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111563 Firmenich - Entrepot et laboratoires
DL;;DD;111592;Bellevue;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111592 Champ du chateau - Travaux préparatoires
GW;2021-02-04 00:00:00;DD;111620;;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111620 Cheneviers IV
CT;;DD;111631;Cologny;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111631 Société Nautique GE - citerne de carburant - Cologny
ASC;2020-02-25 00:00:00;DD;111662;Bernex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\St-Mathieu - DD 111778 et DD 111662
DL;;DD;111671;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111671  Génilac Turretini-Seujet
AM;;DD;111739;Plan-les-Ouates;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111739 Les Sciers
DL;2020-02-14 00:00:00;DD;111778;Bernex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\St-Mathieu - DD 111778 et DD 111662
DL;2020-01-21 00:00:00;DD;111802;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111802 Vernets Exutoire
DL;2020-02-17 00:00:00;DD;111863;Lancy ;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111863 Surville Immeubles 3-4-5
;2020-07-09 00:00:00;DD;111874; -;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111874 Champ du Chateau - Immeuble et parking
CT;;DD;111939;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111939 Forage Geo-02 geothermie 2020
DL;;DD;111996;Dardagny;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 111996 Firmenich - Groupe froid
GW;;DD;112116;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112116 Bât B3 Adret
CT;2022-03-29 00:00:00;DD;112184;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112184 Axe de Frontenex
;;DD;112192; -;
ASC;2021-09-13 00:00:00;DD;112215;;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112215 Vieusseux bâtiment F
CT;2021-12-16 00:00:00;DD;112230;;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112230 - Aménagements extérieurs (ZDIA Pallanterie Sud)
AM;2020-01-30 00:00:00;DD;112237;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112237 Esplanade Pont Rouge B2
DL;;DD;112320;;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112320 Champ du Chateau - Collecteurs
DL;;DD;112353;Dardagny;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112353 - Firmenich - Local électrique
AM;2020-01-16 00:00:00;DD;112360;Thonex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112360 - 3 Immeubles Louis Valencien - Thonex
AM;2022-04-13 00:00:00;DD;112535;Carouge;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112535 carroll Lewis
CT;2020-04-15 00:00:00;DD;112591;Bernex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112591 Îlot A St-Mathieu
CT;2021-02-09 00:00:00;DD;112697;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112697 - Lot BC - Gare des EV
DL;;DD;112709;Vernier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112709 - Orllati
ASC;2020-01-24 00:00:00;DD;112781;Dardagny;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112781 - Firmenich - La Plaine - Lutte contre les crues
AM;2022-05-17 00:00:00;DD;112790;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112790 erreur aiguillage projet renvoye OAC
ASC;;DD;112809;Bellevue;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112809 - GICORD
DL;2021-03-16 00:00:00;DD;112906;Bellevue;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112906 Lombard Odier Aménagements paysagers
FST;2024-04-18 00:00:00;DD;112907;Bellevue;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112907 Lombard Odier Bâtiment et parking
ASC;2021-04-22 00:00:00;DD;112920;;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112920 Carroll Lewis
CT;2002-07-10 00:00:00;DD;112962;Thônex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112962 - Etienne Chennaz
ASC;2025-09-10 00:00:00;DD;112983;Bellevue;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112983 Déplacement P+R Champ du Chateau - Bellevue
CT;2022-02-01 00:00:00;DD;112992;Veyrier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 112992 - Ferme - Grands Esserts
ASC;2021-01-19 00:00:00;DD;113041;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 113041 Meyrin Parking provisoire
ASC;2023-02-28 00:00:00;DD;113042;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 113042 - Parking P1 - Coeur de Cité - Meyrin
GW;2020-01-29 00:00:00;DD;113078;St-Julien;
CT;2023-06-07 00:00:00;DD;113179;Chêne-Bourg;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 113179 - Immeuble hotel Chêne-Bourg
ASC;2025-01-14 00:00:00;DD;113195;Vernier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 113195 - Hôtel Pointe du Bouchet
CT;2021-04-06 00:00:00;DD;113299;Veyrier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 113299 - Maison de Vessy - Grands Esserts
